"Δx [m]","Δy [m]","φ []","R [m]","Δz [V]"
"2.92826e-07","1.46413e-07","-0.463648","3.27389e-07","0.00549316"
"2.63543e-07","1.39092e-07","-0.485622","2.97996e-07","-0.00701904"
"2.85505e-07","1.53734e-07","-0.493941","3.24264e-07","-0.0160217"
"3.4407e-07","1.75695e-07","-0.472122","3.86333e-07","-0.0109863"
"3.22108e-07","1.0981e-07","-0.328553","3.40312e-07","-0.0111389"
"3.58712e-07","1.68375e-07","-0.438859","3.96263e-07","-0.0254822"
"2.85505e-07","9.51684e-08","-0.321751","3.00949e-07","-0.0267029"
"3.4407e-07","1.39092e-07","-0.384169","3.71121e-07","-0.0062561"
"3.22108e-07","1.68375e-07","-0.481664","3.63461e-07","-0.00762939"
"3.4407e-07","1.68375e-07","-0.455101","3.83059e-07","-0.043335"
